Date,ABEV3,AGRO3,ALPA4,ALUP11,AMAR3,IBOV,portifolio
2023-10-17T00:00:00.000Z,12.164179801940918,26.011539459228516,7.340000152587891,25.87629508972168,2.75,,14.828402900695803
2023-10-18T00:00:00.000Z,11.907591819763184,25.752405166625977,7.289999961853027,25.627927780151367,2.5999999046325684,,14.635584926605226
2023-10-19T00:00:00.000Z,11.898089408874512,25.72559928894043,7.329999923706055,25.637123107910156,2.5,,14.618162345886232
2023-10-20T00:00:00.000Z,11.86957836151123,25.966859817504883,7.210000038146973,26.005077362060547,2.5999999046325684,,14.730303096771241
2023-10-23T00:00:00.000Z,11.860074996948242,26.529804229736328,7.440000057220459,26.115463256835938,2.5999999046325684,,14.90906848907471
2023-10-24T00:00:00.000Z,11.898089408874512,26.967647552490234,7.829999923706055,26.152259826660156,2.6500000953674316,,15.09959936141968
2023-10-25T00:00:00.000Z,11.822062492370605,24.540000915527344,7.789999961853027,25.77510643005371,2.309999942779541,,14.447433948516847
2023-10-26T00:00:00.000Z,12.00262451171875,24.5,8.020000457763672,26.2994384765625,2.180000066757202,,14.600412702560426
2023-10-27T00:00:00.000Z,11.679512977600098,24.030000686645508,7.78000020980835,25.94988441467285,2.700000047683716,,14.427879667282106
2023-10-30T00:00:00.000Z,11.7460355758667,23.93000030517578,7.880000114440918,25.83949851989746,2.630000114440918,,14.405106925964358
2023-10-31T00:00:00.000Z,12.221199035644531,24.739999771118164,8.25,25.756710052490234,2.509999990463257,,14.695581769943237
2023-11-01T00:00:00.000Z,12.344741821289062,24.559999465942383,8.569999694824219,25.968280792236328,2.490000009536743,,14.786604356765748
2023-11-03T00:00:00.000Z,12.629839897155762,25.18000030517578,8.9399995803833,26.382230758666992,2.6700000762939453,,15.160414123535158
2023-11-06T00:00:00.000Z,12.838912010192871,25.31999969482422,8.869999885559082,26.593801498413086,2.6700000762939453,,15.258542633056642
2023-11-07T00:00:00.000Z,12.895931243896484,25.540000915527344,9,27.16412925720215,2.6700000762939453,,15.454012298583987
2023-11-08T00:00:00.000Z,12.86742115020752,23.850000381469727,8.760000228881836,27.2285213470459,3.0299999713897705,,15.147188615798953
2023-11-09T00:00:00.000Z,12.743879318237305,24.280000686645508,8.989999771118164,27.026147842407227,3.0199999809265137,,15.212005519866944
2023-11-10T00:00:00.000Z,12.686860084533691,24.110000610351562,9.25,26.419023513793945,3.119999885559082,,15.117176818847659
